#,name,url,input_size
1,efficientnetv2-l-21k-ft1k,https://tfhub.dev/google/imagenet/efficientnet_v2_imagenet21k_ft1k_l/classification/2,480
2,efficientnetv2-m-21k-ft1k,https://tfhub.dev/google/imagenet/efficientnet_v2_imagenet21k_ft1k_m/classification/2,480
3,efficientnetv2-b1-21k-ft1k,https://tfhub.dev/google/imagenet/efficientnet_v2_imagenet21k_ft1k_b1/classification/2,240
4,efficientnetv2-l-21k,https://tfhub.dev/google/imagenet/efficientnet_v2_imagenet21k_l/classification/2,480
5,efficientnetv2-b0-21k,https://tfhub.dev/google/imagenet/efficientnet_v2_imagenet21k_b0/classification/2,224
6,efficientnetv2-xl-21k-ft1k,https://tfhub.dev/google/imagenet/efficientnet_v2_imagenet21k_ft1k_xl/classification/2,512
7,efficientnetv2-s-21k,https://tfhub.dev/google/imagenet/efficientnet_v2_imagenet21k_s/classification/2,384
8,efficientnetv2-b2-21k,https://tfhub.dev/google/imagenet/efficientnet_v2_imagenet21k_b2/classification/2,260
9,efficientnetv2-xl-21k,https://tfhub.dev/google/imagenet/efficientnet_v2_imagenet21k_xl/classification/2,512
10,efficientnetv2-b3-21k,https://tfhub.dev/google/imagenet/efficientnet_v2_imagenet21k_b3/classification/2,300
11,efficientnetv2-m-21k,https://tfhub.dev/google/imagenet/efficientnet_v2_imagenet21k_m/classification/2,480
12,efficientnetv2-b1-21k,https://tfhub.dev/google/imagenet/efficientnet_v2_imagenet21k_b1/classification/2,240
13,efficientnetv2-b0-21k-ft1k,https://tfhub.dev/google/imagenet/efficientnet_v2_imagenet21k_ft1k_b0/classification/2,224
14,efficientnetv2-s-21k-ft1k,https://tfhub.dev/google/imagenet/efficientnet_v2_imagenet21k_ft1k_s/classification/2,384
15,efficientnetv2-b2-21k-ft1k,https://tfhub.dev/google/imagenet/efficientnet_v2_imagenet21k_ft1k_b2/classification/2,260
16,efficientnetv2-b3-21k-ft1k,https://tfhub.dev/google/imagenet/efficientnet_v2_imagenet21k_ft1k_b3/classification/2,300